artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
20 Fingers,0.0009065,0.8515,253013.0,0.82,0.33845000000000003,0.11065,-8.8545,0.0541,127.001,0.7765,50.0,0,1,2,"['eurodance', 'hip house']"
20/20,0.000236,0.45799999999999996,257733.0,0.541,0.00183,0.0371,-12.130999999999998,0.0485,133.57299999999998,0.5770000000000001,24.0,2,1,2,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']"
2002,0.905,0.229,267840.33333333326,0.15500000000000005,0.8523333333333333,0.10526666666666668,-19.014333333333333,0.03553333333333333,114.312,0.06333333333333334,47.33333333333334,7,1,6,"['healing', 'new age']"
2014 ATHINAIKI DISCOGRAFIKI,0.995,0.501,189453.0,0.341,0.0117,0.418,-11.514000000000001,0.0814,109.956,0.621,0.0,2,1,2,[]
20th Century Fox Studio Orchestra,0.831,0.3466666666666667,101480.33333333331,0.326,0.8103333333333333,0.33676666666666666,-13.196,0.03693333333333333,100.02433333333332,0.6326666666666667,0.0,5,1,6,[]
21 Savage,0.1237767341772152,0.7918860759493672,225374.55696202532,0.551607594936709,0.015091409493670884,0.17880759493670892,-7.41145569620253,0.2842911392405064,124.41951898734176,0.33221645569620256,66.20253164556962,1,1,79,"['atl hip hop', 'rap', 'trap']"
"22, Little Red, Tangle Eye & Hard Hair",0.948,0.789,278082.0,0.35200000000000004,0.000778,0.0867,-9.337,0.66,139.616,0.659,16.0,8,1,1,[]
22Gz,0.281,0.83,190746.0,0.574,0.0,0.124,-6.892,0.701,143.892,0.5379999999999999,70.0,11,1,2,['nyc rap']
24 Horas,0.20600000000000002,0.8140000000000001,230267.0,0.68,0.0,0.10099999999999999,-6.928,0.043,126.976,0.963,46.0,7,0,2,"['bachata', 'latin', 'tropical']"
24hrs,0.05980000000000001,0.5405,197806.5,0.74,0.0,0.12435,-5.4345,0.18005000000000002,117.9925,0.34,67.5,1,1,4,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']"
24kGoldn,0.11826941176470593,0.7315882352941177,163177.41176470587,0.6812352941176469,1.627058823529412e-06,0.15999999999999998,-5.403823529411764,0.12376470588235294,131.31911764705882,0.5668235294117645,69.47058823529412,0,0,17,"['cali rap', 'pop rap']"
27CLUB,0.428,0.514,155893.0,0.7120000000000001,8.77e-06,0.11199999999999999,-7.2810000000000015,0.33399999999999996,76.393,0.48700000000000004,70.0,2,1,2,['emo rap']
2Baba,0.0158,0.591,283000.0,0.602,0.0,0.278,-7.483,0.386,147.957,0.355,0.0,1,1,2,"['afro dancehall', 'afropop', 'nigerian hip hop', 'nigerian pop']"
2CELLOS,0.603,0.5864999999999999,253046.5,0.499,0.4298400000000001,0.149,-8.705,0.04035,122.251,0.6005,58.5,2,1,4,"['bow pop', 'cello', 'classify']"
2KBABY,0.4113333333333333,0.721,118400.0,0.4666666666666667,0.0,0.15133333333333335,-10.867333333333333,0.4776666666666667,137.79333333333335,0.5846666666666667,67.33333333333333,2,1,6,[]
2NE1,0.0076700000000000015,0.8190000000000001,208731.0,0.8440000000000001,0.00834,0.055999999999999994,-3.739,0.038,127.99700000000001,0.687,64.0,0,1,2,"['dance pop', 'k-pop', 'k-pop girl group']"
2Pac,0.13185150853242314,0.7769078498293513,262092.32081911265,0.7081774744027309,0.007405551774744028,0.2241467576791808,-7.006529010238911,0.22346348122866894,107.15816382252571,0.6101433447098976,49.08532423208191,1,1,293,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
2Pac a.k.a. Makaveli,0.0938,0.893,293840.0,0.5760000000000001,0.0,0.0758,-7.5139999999999985,0.35700000000000004,94.307,0.861,42.0,1,1,1,[]
2forwOyNE,0.0474,0.9229999999999999,187267.0,0.5329999999999999,4.12e-06,0.0925,-5.6270000000000024,0.0883,97.958,0.6890000000000001,62.0,5,0,2,[]
2nd Chapter Of Acts,0.6054999999999999,0.4330000000000001,169067.0,0.3765,0.0,0.1148,-11.488499999999998,0.0277,89.17299999999999,0.4420000000000001,28.5,1,1,4,"['christian music', 'deep christian rock']"
2nd Generation Outlawz,0.0013,0.516,247060.0,0.452,2.69e-06,0.128,-8.204,0.0322,130.069,0.0412,0.0,1,1,1,[]
2nd II None,0.03820444444444445,0.9122222222222224,225997.1111111111,0.5361111111111111,1.1244444444444444e-06,0.2551111111111111,-12.021222222222226,0.18837777777777776,103.67533333333333,0.8004444444444444,35.333333333333336,6,0,9,"['gangster rap', 'west coast rap']"
2nd South Carolina String Band,0.5895,0.5515,345866.5,0.639,8.15e-07,0.2195,-7.9145,0.046250000000000006,103.9895,0.6224999999999999,39.5,2,1,4,"['string band', 'traditional country']"
3 Doors Down,0.03847817454545454,0.503,232900.1090909091,0.7926727272727272,0.00612995145454545,0.15785090909090913,-5.679090909090909,0.037990909090909096,128.84419999999997,0.4451818181818182,49.72727272727273,7,1,55,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
3 Inches Of Blood,6.4e-05,0.3670000000000001,271160.0,0.961,0.00119,0.11,-3.1860000000000004,0.0807,97.0,0.237,46.0,9,0,2,"['canadian metal', 'power metal', 'speed metal', 'vancouver metal', 'vancouver punk']"
3 in One,0.479,0.599,202857.0,0.47100000000000003,0.0,0.133,-8.552,0.0945,121.11,0.547,0.0,6,1,2,[]
3-2,0.155,0.792,239733.0,0.602,0.0,0.08800000000000001,-8.892999999999997,0.317,92.01700000000001,0.747,32.0,1,1,2,[]
30 Roc,0.0932,0.616,175252.0,0.537,0.000157,0.107,-7.7189999999999985,0.139,122.65,0.465,68.0,8,0,2,[]
311,0.022413531147540973,0.6188688524590163,205666.0,0.8200655737704922,0.012122383442622956,0.16602459016393445,-7.354754098360658,0.06582459016393448,132.57375409836072,0.6162065573770488,40.32786885245904,9,1,122,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']"
35MM: A Musical Exhibition Original Cast,0.113,0.772,289587.0,0.615,0.0,0.0581,-7.983,0.0633,119.962,0.7040000000000001,49.0,8,0,2,[]
36 Crazyfists,0.00119,0.585,198600.0,0.9309999999999999,2.46e-05,0.115,-4.843,0.0847,160.079,0.8140000000000001,52.0,0,1,2,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
38 Special,0.0328747711111111,0.5251555555555554,256027.8,0.6304,0.025745799333333333,0.12511777777777774,-11.429977777777774,0.03260222222222224,125.27055555555555,0.7732666666666664,32.28888888888889,0,1,90,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
3BallMTY,0.213,0.792,193533.0,0.9159999999999999,3.11e-05,0.061,-5.01,0.0685,131.895,0.966,57.0,9,1,1,"['mexican indie', 'trival']"
3LAU,0.1013,0.5335000000000001,201705.0,0.7705,3.46e-05,0.22699999999999998,-4.26,0.0566,115.002,0.268,58.0,3,1,2,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
3LW,0.0558,0.7177999999999999,272055.8,0.7196,2.168e-05,0.15058,-5.9238,0.11084,129.6848,0.6678000000000001,49.2,6,0,5,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
3OH!3,0.020766,0.6837500000000001,193600.85,0.7931999999999999,4.4469e-05,0.3171500000000001,-3.92975,0.17853000000000002,125.77265,0.5496499999999999,53.7,5,1,20,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
3T,0.3496666666666666,0.6696666666666666,320777.66666666674,0.43566666666666665,0.00015096666666666666,0.33066666666666666,-11.056000000000004,0.0342,113.091,0.4793333333333334,45.33333333333334,10,0,3,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
3X Krazy,0.0165,0.7190000000000001,358467.0,0.6859999999999999,0.0,0.23600000000000002,-4.169,0.0829,95.19,0.49,47.0,10,0,2,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
3rd Bass,0.099428,0.7996000000000001,272712.6,0.6826000000000001,8.380000000000003e-05,0.14053999999999994,-13.5126,0.2478,124.1922,0.5268,30.0,2,1,10,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
3rd Strike,0.0075,0.444,249827.0,0.8590000000000001,4.320000000000001e-05,0.24,-4.962,0.0484,99.655,0.39399999999999996,38.0,2,1,2,"['nu metal', 'rap rock']"
3年E組うた担(渚&茅野&業&磯貝&前原),0.0389,0.591,248800.0,0.945,0.0,0.214,-2.483,0.0675,180.048,0.96,60.0,0,1,2,[]
4 Non Blondes,0.18415,0.5286666666666666,239673.33333333328,0.57,5.1e-07,0.12663333333333335,-10.100499999999998,0.03825,117.87649999999998,0.44616666666666654,48.0,7,1,12,"['new wave pop', 'pop rock']"
4 P.M.,0.7490000000000001,0.363,162093.0,0.38799999999999996,0.0,0.363,-8.607999999999999,0.034,76.09899999999998,0.348,37.0,11,0,2,"['anime rock', 'vocaloid']"
4 Skins,0.0104,0.2655,158007.0,0.9295,2.605e-06,0.6154999999999999,-4.7330000000000005,0.125,154.4345,0.4985000000000001,35.5,11,0,4,"['oi', 'punk', 'ska']"
4 Strings,0.00213,0.617,190427.0,0.79,0.0455,0.159,-6.983,0.0365,138.004,0.267,56.0,3,0,2,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
40 Thevz,0.0102,0.76,311040.0,0.585,0.00047599999999999997,0.308,-7.307,0.161,91.179,0.455,52.0,3,1,2,[]
42 Dugg,0.2332,0.8775999999999999,175701.0,0.5650000000000001,0.0,0.09664,-5.2062,0.31599999999999995,127.28759999999996,0.4086,71.0,10,0,5,"['detroit trap', 'southern hip hop', 'trap']"
420 Unlovable,0.34700000000000003,0.9540000000000001,166635.0,0.58,1.87e-06,0.134,-8.924,0.3670000000000001,128.003,0.48,60.0,7,1,1,['meme rap']
42nd Street Ensemble,0.8240000000000001,0.34299999999999997,349338.0,0.434,0.00236303,0.17056666666666664,-13.260666666666665,0.2211666666666668,111.19233333333334,0.31000000000000005,17.333333333333332,0,1,6,['broadway']
433,0.00607,0.6609999999999999,165000.0,0.9420000000000001,0.44,0.0778,-3.75,0.282,127.947,0.203,64.0,10,0,2,[]
45 Grave,0.021412999999999998,0.4383333333333334,177489.0,0.7636666666666666,0.23566928,0.12070000000000004,-8.350666666666667,0.07573333333333332,149.72866666666667,0.5576666666666666,27.66666666666667,10,0,6,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
4B,0.00441,0.63,224052.0,0.851,0.0218,0.0939,-4.61,0.319,150.054,0.573,54.0,1,1,1,"['brostep', 'electro house', 'electronic trap']"
4Him,0.2823333333333333,0.4763333333333333,290636.33333333326,0.4873333333333333,0.0015737833333333336,0.11133333333333334,-10.056333333333336,0.03013333333333333,111.23966666666668,0.31166666666666665,32.666666666666664,4,1,6,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
4Minute,0.00589,0.54,192400.0,0.929,4.01e-06,0.424,-2.6460000000000004,0.278,176.023,0.624,61.0,7,1,2,"['k-pop', 'k-pop girl group']"
5 Seconds of Summer,0.05982723404255321,0.5467553191489358,197841.24468085106,0.8077553191489362,1.1071702127659571e-05,0.17727021276595745,-4.4014574468085135,0.08325319148936171,137.15309574468077,0.5310000000000002,61.92553191489362,2,1,94,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
50 Cent,0.12739586826347302,0.6924850299401202,233712.45508982035,0.761335329341317,0.0005839498802395213,0.19189401197604788,-4.1007125748503,0.2641730538922157,105.66044910179636,0.5887005988023949,52.197604790419156,1,1,167,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
504 Boyz,0.011873333333333336,0.8236666666666665,213458.33333333328,0.6523333333333333,0.0,0.2746666666666666,-7.742333333333333,0.26533333333333337,140.03566666666669,0.4596666666666666,43.66666666666666,7,1,6,"['dirty south rap', 'pop rap', 'southern hip hop']"
520Hz,0.996,0.0,197680.0,0.0197,0.996,0.10400000000000001,-47.19,0.0,0.0,0.0,56.0,1,1,2,['white noise']
54-40,0.29100000000000004,0.669,166827.0,0.645,9.4e-06,0.132,-11.036,0.0305,119.179,0.929,45.0,0,1,2,"['canadian indie', 'canadian rock']"
5th Ward Boyz,0.158,0.8420000000000001,352173.0,0.336,0.0,0.256,-8.227,0.379,78.001,0.599,36.0,4,0,1,"['dirty south rap', 'dirty texas rap', 'gangster rap']"
6 Dogs,0.22399999999999998,0.748,171907.0,0.66,0.053,0.10099999999999999,-4.704,0.0487,137.033,0.32799999999999996,68.0,6,1,2,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
645AR,0.038,0.8640000000000001,91200.0,0.613,0.0,0.12300000000000001,-6.505,0.7809999999999999,150.067,0.16899999999999998,68.0,2,1,2,['meme rap']
69 Boyz,0.04509200000000002,0.8576,261191.8,0.715,0.00346,0.16568,-11.049199999999995,0.18954000000000001,132.8056,0.6628000000000001,39.6,9,0,10,['miami bass']
6LACK,0.32181647058823537,0.6363725490196079,216116.8235294117,0.50921568627451,0.002125963921568628,0.1191803921568628,-8.32435294117647,0.1682235294117647,118.1979803921568,0.31049411764705875,65.11764705882354,0,1,51,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']"
6cyclemind,0.44299999999999995,0.7175,295993.0,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5,3,1,4,"['classic opm', 'opm', 'pinoy rock']"
6ix9ine,0.10076666666666664,0.7369333333333334,159113.53333333333,0.6750666666666665,3.241566666666666e-05,0.1473866666666667,-5.5027333333333335,0.23430333333333336,129.4227,0.4546333333333333,69.86666666666666,1,1,30,['emo rap']
